combo_key,combo_label,n_factors,ic_5d,ic_20d,ic_60d,tail_reversion_score,fear_n,greed_n,fear_excess_20d,greed_excess_20d,fear_win_rate,greed_win_rate,is_sharpe,oos_sharpe,sharpe_decay
inflation+cand_copper_gold+cand_sofr_ted_spread,通膨意外 (CPI-10YBE) + 銅金比報酬差 + SOFR-3M利差,3,0.032063728900679704,0.08181759037190527,,5.328517594185321,451,223,-2.0613897276478497,3.267127866537472,52.993348115299334,60.0896860986547,0.6099346246695251,-0.4094627067288248,-0.6713222863035198
curve+inflation+cand_credit_spread+cand_sofr_ted_spread,殖利率曲線 (10Y-2Y) + 通膨意外 (CPI-10YBE) + IG企業債利差 + SOFR-3M利差,4,-0.03777366074308951,-0.021271958836309248,,5.299859488890841,386,118,3.733286466876698,9.033145955767539,44.81865284974093,76.27118644067797,-0.3467008438974717,-1.1224163543172125,0.0
curve+cand_swap_spread,殖利率曲線 (10Y-2Y) + 10Y Swap Spread,2,-0.06181880500747595,-0.10282127382686697,,5.263772262652651,207,233,-11.036656713519287,-5.772884450866636,69.56521739130434,31.759656652360512,0.41561509633124044,-0.832841408062192,-2.0038767008559932
cand_copper_gold+cand_swap_spread+cand_inflation_1y,銅金比報酬差 + 10Y Swap Spread + 1年通膨預期價差,3,0.027759553664811882,0.017476869372558077,,5.249945828819069,142,325,-5.907412650104986,-0.6574668212859173,57.04225352112676,56.00000000000001,0.5439693123568943,-1.101571739065597,-2.025062285761561
momentum+move+inflation+cand_credit_spread+cand_swap_spread+cand_sofr_ted_spread+cand_inflation_1y,動能 (10Y-SMA125) + 波動度 (MOVE偏態) + 通膨意外 (CPI-10YBE) + IG企業債利差 + 10Y Swap Spread + SOFR-3M利差 + 1年通膨預期價差,7,-0.04200222682420533,-0.06939938500797782,,5.218181818181812,55,15,25.81665905283997,31.034840871021782,12.727272727272727,100.0,-0.9837654420616889,-1.9186202869257027,0.0
curve+cand_copper_gold+cand_credit_spread,殖利率曲線 (10Y-2Y) + 銅金比報酬差 + IG企業債利差,3,-0.003600410182634675,0.03503105180503895,,5.2009335247329895,397,279,-4.601934947618024,0.5989985771149655,57.17884130982368,45.51971326164875,0.43749945409677315,-0.32471849839944844,-0.7422146367470026
duration+cand_copper_gold+cand_swap_spread+cand_sofr_ted_spread+cand_inflation_1y,存續期間避險 (TLT-SHY) + 銅金比報酬差 + 10Y Swap Spread + SOFR-3M利差 + 1年通膨預期價差,5,-0.004465696014998816,-0.03502852614529025,,5.166562824506752,45,107,9.057063093243995,14.223625917750747,40.0,83.17757009345794,-0.29909478859104566,-0.4245431819790618,0.0
momentum+move+cand_inflation_1y,動能 (10Y-SMA125) + 波動度 (MOVE偏態) + 1年通膨預期價差,3,-0.04593558452304538,-0.09231451468687749,,5.129293603592666,308,107,13.365360351541254,18.49465395513392,27.5974025974026,85.98130841121495,-1.4263653690114912,-0.2715781255698533,0.0
strength+cand_copper_gold+cand_credit_spread+cand_swap_spread,強度 (NQ 52W區間) + 銅金比報酬差 + IG企業債利差 + 10Y Swap Spread,4,0.023892278304456716,0.054686053958952055,,5.052671466464569,91,406,-2.683840447659541,2.3688310188050283,58.24175824175825,58.3743842364532,1.1716865663591824,-0.9371535343582996,-0.7998329598250371
momentum+strength+duration+curve+cand_copper_gold+cand_swap_spread+cand_inflation_1y,動能 (10Y-SMA125) + 強度 (NQ 52W區間) + 存續期間避險 (TLT-SHY) + 殖利率曲線 (10Y-2Y) + 銅金比報酬差 + 10Y Swap Spread + 1年通膨預期價差,7,-0.03467351878873957,-0.0370661446041524,,4.97428571428571,70,25,4.6205551567360565,9.594840871021766,40.0,80.0,-0.45688253618334496,-0.14118773883089003,0.0
momentum+duration+cand_credit_spread+cand_inflation_1y,動能 (10Y-SMA125) + 存續期間避險 (TLT-SHY) + IG企業債利差 + 1年通膨預期價差,4,-0.05957957423740547,-0.09573182729101952,,4.9005802476520905,229,73,8.857548294602562,13.758128542254653,32.314410480349345,76.71232876712328,-1.2030758908165817,0.5247719157413823,0.0
cand_copper_gold+cand_credit_spread,銅金比報酬差 + IG企業債利差,2,0.040209459979807106,0.09020072643639081,,4.887879814752065,454,390,-2.5171415078328523,2.370738306919212,54.40528634361234,53.84615384615385,0.8671931474409581,-0.3008704420457502,-0.3469474394875043
strength+duration+move+cand_copper_gold+cand_credit_spread+cand_sofr_ted_spread+cand_inflation_1y,強度 (NQ 52W區間) + 存續期間避險 (TLT-SHY) + 波動度 (MOVE偏態) + 銅金比報酬差 + IG企業債利差 + SOFR-3M利差 + 1年通膨預期價差,7,-0.033341699004641304,-0.03083102528270479,,4.871437234687688,97,34,12.05752128339291,16.9289585180806,29.896907216494846,85.29411764705883,-0.4055272283785668,-0.5586936390803792,0.0
move+curve+cand_copper_gold+cand_credit_spread+cand_sofr_ted_spread,波動度 (MOVE偏態) + 殖利率曲線 (10Y-2Y) + 銅金比報酬差 + IG企業債利差 + SOFR-3M利差,5,0.005504288153625315,0.03776370962637956,,4.859375000000002,248,64,-0.11515912897822567,4.744215871021776,52.82258064516129,50.0,0.19546121109603937,-0.5142968183991613,-2.631196315193519
strength+duration+curve+inflation+cand_copper_gold+cand_credit_spread+cand_swap_spread+cand_sofr_ted_spread+cand_inflation_1y,強度 (NQ 52W區間) + 存續期間避險 (TLT-SHY) + 殖利率曲線 (10Y-2Y) + 通膨意外 (CPI-10YBE) + 銅金比報酬差 + IG企業債利差 + 10Y Swap Spread + SOFR-3M利差 + 1年通膨預期價差,9,-0.036736915209392484,-0.010096383318878192,,4.843881856540067,79,9,9.457625681148356,14.301507537688423,37.9746835443038,100.0,-0.27468978733675004,-0.9504482209029678,0.0
cand_credit_spread+cand_swap_spread,IG企業債利差 + 10Y Swap Spread,2,0.008568331560414906,-0.008834237937559577,,4.765809662036078,159,546,-2.0192471792926914,2.7465624827433874,49.056603773584904,58.60805860805861,0.6884786823481208,-1.912585697369762,-2.777988260793653
inflation+cand_copper_gold+cand_credit_spread+cand_swap_spread+cand_sofr_ted_spread,通膨意外 (CPI-10YBE) + 銅金比報酬差 + IG企業債利差 + 10Y Swap Spread + SOFR-3M利差,5,0.021382147729364896,0.06152207143881466,,4.736671223513335,209,56,-4.566116066777269,0.1705551567360659,52.63157894736842,50.0,0.7214046459753514,-1.219006889672695,-1.6897685598137187
momentum+cand_credit_spread+cand_sofr_ted_spread+cand_inflation_1y,動能 (10Y-SMA125) + IG企業債利差 + SOFR-3M利差 + 1年通膨預期價差,4,-0.04349541727725093,-0.06978070902384076,,4.730263157894742,152,62,12.404577713127038,17.13484087102178,30.92105263157895,79.03225806451613,-1.0497490486445737,0.0588320428522811,0.0
momentum+strength+curve+inflation+cand_copper_gold+cand_swap_spread+cand_sofr_ted_spread+cand_inflation_1y,動能 (10Y-SMA125) + 強度 (NQ 52W區間) + 殖利率曲線 (10Y-2Y) + 通膨意外 (CPI-10YBE) + 銅金比報酬差 + 10Y Swap Spread + SOFR-3M利差 + 1年通膨預期價差,8,-0.023836950696053197,0.012715090330104527,,4.7235294117647095,85,2,5.411311459257067,10.134840871021776,42.35294117647059,100.0,-0.275606851983635,-0.6919086362674904,0.0
strength+move+cand_credit_spread+cand_swap_spread+cand_sofr_ted_spread,強度 (NQ 52W區間) + 波動度 (MOVE偏態) + IG企業債利差 + 10Y Swap Spread + SOFR-3M利差,5,-0.010196148001155632,-0.028305134197709803,,4.721850613154958,104,69,1.0579177940987003,5.779768407253658,55.769230769230774,68.11594202898551,0.43298828239355464,-1.4013538334499198,-3.236470570758291
strength+move+curve+inflation+cand_copper_gold+cand_credit_spread,強度 (NQ 52W區間) + 波動度 (MOVE偏態) + 殖利率曲線 (10Y-2Y) + 通膨意外 (CPI-10YBE) + 銅金比報酬差 + IG企業債利差,6,-0.03388767351212708,-0.030839281165561085,,4.682963320463323,185,112,1.9429489791298822,6.625912299593206,52.43243243243243,73.21428571428571,0.10998348990569143,-1.1752606493204438,-10.685791570427575
move+curve+cand_copper_gold+cand_credit_spread+cand_swap_spread+cand_sofr_ted_spread,波動度 (MOVE偏態) + 殖利率曲線 (10Y-2Y) + 銅金比報酬差 + IG企業債利差 + 10Y Swap Spread + SOFR-3M利差,6,0.004645349296475792,0.02217801000658952,,4.626106194690269,113,4,-7.241265323668494,-2.6151591289782243,64.60176991150442,0.0,0.48563311450100877,-1.1179845710345593,-2.30211766383208
